BMO korte naam;DSC kortenaam;
ADOPTIEKINDEREN;ADOPJJJJTABVV;
AES;Adult Education Survey (AES)_JJJJ;
AKWUITKERING1ATAB;AKWUITKERING1AJJJJKKTABVV;
AKWUITKERING1BTAB;AKWUITKERING1BJJJJKKTABVV;
ANWJAARBEDRAGTAB;ANWJAARBEDRAGJJJJTABVV;
ANWMNDBEDRAGBUS;ANWMNDBEDRAGJJJJBUSVV;
ANWPERSOONMNDBEDRAGBUS;ANWPERSOONMNDBEDRAGJJJJBUSVV;
ANWUITKERING1ATAB;ANWUITKERING1AJJJJMMTABVV;
AOTOTJAARBEDRAGTAB;AOTOTJAARBEDRAGJJJJTABVV;
AOTOTMNDBEDRAGBUS;AOTOTMNDBEDRAGJJJJBUSVV;
AOTOTPERSOONBUS;AOTOTPERSOONJJJJBUSVV;
AOTOTPERSOONMNDBEDRAGBUS;AOTOTPERSOONMNDBEDRAGJJJJBUSVV;
AOTOTUITKERINGATAB;AOTOTUITKERINGAJJJJMMTABVV;
AOTOTUITKERINGTAB;AOTOTUITKERINGJJJJMMTABVV;
AOWJAARBEDRAGTAB;AOWJAARBEDRAGJJJJTABVV;
AOWMNDBEDRAGBUS;AOWMNDBEDRAGJJJJBUSVV;
AOWPERSOONBUS;AOWPERSOONJJJJBUSVV;
AOWPERSOONMNDBEDRAGBUS;AOWPERSOONMNDBEDRAGJJJJBUSVV;
AOWUITKERING1ATAB;AOWUITKERING1AJJJJMMTABVV;
ARBBUITLANDBUS;ARBBUITLANDBUSVV;
ARBBUITLANDMNDBEDRAGBUS;ARBBUITLANDMNDBEDRAGBUSVV;
BAANKENMERKENBUS;BAANKENMERKENJJJJBUSVV;
BAANPRSJAARBEDRAGTAB;BAANPRSJAARBEDRAGJJJJTABVV;
BAANPRSMNDBEDRAGBUS;BAANPRSMNDBEDRAGJJJJBUSVV;
BAANSOMMENTAB;baansommenjjjjtabvv;
BAGWOZTAB;BAGWOZJJJJTABVV;
ABR;BE_ABRJJJJ;
BEIDSMETVESTIGINGSINFO;beidsmetvestigingsinfo_jjjjv_corop_sbi2008;
BETAB;BEJJJJTABVV;
BUDGETONDERZOEK;BESjjjj;
BIGTAB;BIGJJJJTABVV;
BIJSTANDJAARBEDRAGTAB;BIJSTANDJAARBEDRAGJJJJTABVV;
BIJSTANDMNDBEDRAGBUS;BIJSTANDMNDBEDRAGJJJJBUSVV;
BIJSTANDPERSOONJAARBEDRAGTAB;BIJSTANDPERSOONJAARBEDRAGJJJJTABVV;
BIJSTANDPERSOONBUS;BIJSTANDPERSOONJJJJBUSVV;
BIJSTANDPERSOONMNDBEDRAGBUS;BIJSTANDPERSOONMNDBEDRAGJJJJBUSVV;
BIJSTANDUITKERINGTAB;BIJSTANDUITKERINGJJJJMMTABVV;
BIJSTANDVORDERINGTAB;BIJSTANDVORDERINGJJJJMMTABVV;
